StudentID,Student Name,Gender,Stream,Maths,English,Python,C lang,Java,Attendance %,Total Marks,Percentage,Result
1001,STU07,Male,CIVIL,66,54,71,50,46,98,287,57.4,Pass
1002,STU04,Female,CIVIL,54,84,81,61,46,98,326,65.2,Pass
1003,STU08,Male,AIML,55,66,77,26,40,59,264,52.800000000000004,Fail
1004,STU05,Female,AIML,69,22,71,35,49,93,246,49.2,Fail
1005,STU07,Female,CIVIL,23,20,31,79,47,58,200,40.0,Fail
1006,STU010,Male,CSE,21,24,58,21,83,60,207,41.4,Fail
1007,STU03,Male,ME,25,33,21,20,88,99,187,37.4,Fail
1008,STU07,Female,CIVIL,73,46,22,67,80,86,288,57.599999999999994,Fail
1009,STU08,Male,CSE,23,28,75,31,67,84,224,44.800000000000004,Fail
1010,STU05,Female,AIML,73,34,78,88,38,89,311,62.2,Pass
1011,STU04,Male,AIML,82,61,21,56,23,94,243,48.6,Fail
1012,STU08,Female,CSE,37,70,21,51,54,70,233,46.6,Fail
1013,STU08,Female,ME,63,82,73,28,83,67,329,65.8,Fail
1014,STU03,Female,AIML,53,71,20,38,68,96,250,50.0,Fail
1015,STU06,Female,AIML,81,23,38,67,36,84,245,49.0,Fail
1016,STU05,Female,AIML,33,42,21,22,63,73,181,36.199999999999996,Fail
1017,STU02,Female,CSE,67,34,72,39,49,71,261,52.2,Pass
1018,STU08,Male,CIVIL,34,62,63,43,65,73,267,53.400000000000006,Pass
1019,STU06,Male,AIML,81,48,51,73,25,82,278,55.60000000000001,Fail
1020,STU02,Male,CIVIL,59,55,89,52,56,80,311,62.2,Pass
1021,STU05,Female,ME,72,32,51,43,43,91,241,48.199999999999996,Fail
1022,STU01,Female,AIML,43,51,87,55,65,80,301,60.199999999999996,Pass
1023,STU010,Female,AIML,45,78,74,57,72,77,326,65.2,Pass
1024,STU06,Female,ME,79,47,75,44,79,63,324,64.8,Pass
1025,STU09,Male,AIML,60,85,36,37,82,66,300,60.0,Pass
1026,STU01,Male,CIVIL,48,61,57,85,51,55,302,60.4,Pass
1027,STU010,Female,CSE,34,64,43,73,52,55,266,53.2,Pass
1028,STU03,Male,CIVIL,64,81,88,54,86,88,373,74.6,Pass
1029,STU07,Male,CSE,84,76,89,80,37,86,366,73.2,Pass
1030,STU04,Female,CSE,28,25,30,60,44,79,187,37.4,Fail
1031,STU09,Male,CIVIL,20,47,35,52,73,94,227,45.4,Fail
1032,STU03,Female,CIVIL,27,47,78,87,77,99,316,63.2,Fail
1033,STU05,Male,CIVIL,82,63,89,52,86,55,372,74.4,Pass
1034,STU03,Female,CIVIL,30,49,22,33,65,70,199,39.800000000000004,Fail
1035,STU07,Female,ME,27,81,39,40,43,93,230,46.0,Fail
1036,STU05,Female,AIML,54,81,78,67,51,59,331,66.2,Pass
1037,STU09,Female,CSE,54,20,55,39,66,76,234,46.800000000000004,Fail
1038,STU07,Male,CIVIL,52,46,38,27,42,83,205,41.0,Fail
1039,STU02,Female,CIVIL,24,81,86,26,85,57,302,60.4,Fail
1040,STU04,Female,CIVIL,60,22,38,86,46,66,252,50.4,Fail
1041,STU09,Female,ME,47,89,39,36,21,80,232,46.400000000000006,Fail
1042,STU02,Male,CIVIL,26,46,71,52,36,70,231,46.2,Fail
1043,STU010,Female,CIVIL,31,28,52,67,52,91,230,46.0,Fail
1044,STU09,Male,CIVIL,53,81,59,78,28,76,299,59.8,Fail
1045,STU010,Female,AIML,52,56,58,41,62,83,269,53.800000000000004,Pass
1046,STU05,Male,ME,67,70,20,49,67,68,273,54.6,Fail
1047,STU02,Male,CIVIL,42,63,30,57,58,82,250,50.0,Fail
1048,STU04,Female,CSE,81,43,76,70,61,59,331,66.2,Pass
1049,STU07,Male,CSE,56,78,69,73,45,84,321,64.2,Pass
1050,STU08,Female,CSE,63,51,42,27,69,59,252,50.4,Fail
